City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
642,Maragogi,BR,-9.0122,-35.2225,78.75,70,6,11.61,clear sky
643,Umm Lajj,SA,25.0213,37.2685,80.69,62,1,10.76,clear sky
644,Cholet,FR,47.1667,-1.0,62.56,72,19,9.57,few clouds
645,Sierra Vista,US,31.5545,-110.3037,78.82,39,75,8.05,broken clouds
646,Turukhansk,RU,65.8167,87.9833,33.21,81,100,5.32,overcast clouds
647,Plettenberg Bay,ZA,-34.0527,23.3716,56.1,82,95,4.72,overcast clouds
648,Magomeni,TZ,-6.8,39.25,76.73,80,53,6.8,broken clouds
649,Kresttsy,RU,58.2452,32.5165,42.31,79,39,2.89,scattered clouds
650,Horsham,GB,51.064,-0.3272,59.13,94,20,5.75,moderate rain
651,Guangyuan,CN,32.442,105.823,66.47,94,0,1.92,clear sky
652,Fort Dodge,US,42.4975,-94.168,87.46,45,1,8.05,clear sky
653,Fukuma,JP,33.7667,130.4667,75.29,88,55,4.25,broken clouds
654,Old Saybrook,US,41.2918,-72.3762,69.8,91,75,5.75,broken clouds
655,Schmalkalden,DE,50.7167,10.45,54.88,83,100,3.31,overcast clouds
656,Kutum,SD,14.2,24.6667,83.48,25,0,14.41,clear sky
657,Abejorral,CO,5.7893,-75.4273,59.95,75,100,0.34,overcast clouds
658,Beasain,ES,43.0502,-2.2009,67.44,81,100,3.22,overcast clouds
659,Shelburne,CA,44.0787,-80.2041,62.13,48,1,9.24,clear sky
660,Palmer,US,42.1584,-72.3287,67.42,94,90,0.0,light rain
661,Magadan,RU,59.5667,150.8,33.08,92,100,15.7,light snow
662,Berbera,SO,10.4396,45.0143,92.21,39,5,4.23,clear sky
663,Sabang,ID,5.8933,95.3214,80.37,81,100,15.99,overcast clouds
664,Mahanoro,MG,-19.9,48.8,68.41,88,1,6.31,clear sky
665,Las Vegas,US,36.175,-115.1372,88.48,22,1,12.66,smoke
666,Kaili,ID,-3.4626,120.2147,67.39,97,90,1.81,overcast clouds
667,Pandan,PH,14.0453,124.1694,80.19,87,82,6.96,broken clouds
668,Dinguiraye,GN,11.3,-10.7167,78.66,71,56,2.35,broken clouds
669,Vaitape,PF,-16.5167,-151.75,79.32,74,22,18.37,few clouds
670,George,ZA,-33.963,22.4617,55.31,76,76,1.86,broken clouds
671,Port Macquarie,AU,-31.4333,152.9167,51.76,76,95,12.71,overcast clouds
672,Gualaquiza,EC,-3.4,-78.55,79.05,56,68,4.97,light rain
673,Buraydah,SA,26.326,43.975,80.04,9,5,7.63,clear sky
674,Balykshi,KZ,47.0667,51.8667,50.0,53,75,11.18,broken clouds
675,Komsomolskiy,UZ,40.4272,71.7189,65.12,55,76,9.22,broken clouds
676,Mehamn,NO,71.0357,27.8492,55.35,54,0,17.27,clear sky
677,Porto Novo,BJ,6.4965,2.6036,78.48,84,31,6.51,scattered clouds
678,Shache,CN,38.4167,77.2406,69.46,15,0,3.91,clear sky
679,Esil,KZ,51.9556,66.4042,43.43,79,99,1.88,overcast clouds
680,Natal,BR,-5.795,-35.2094,83.05,61,75,13.8,broken clouds
681,Ishigaki,JP,24.3448,124.1572,82.44,80,50,16.53,scattered clouds
682,Ulladulla,AU,-35.35,150.4667,54.88,77,100,4.16,overcast clouds
683,Sidhi,IN,24.4167,81.8833,77.04,86,45,4.0,scattered clouds
684,Eyl,SO,7.9803,49.8164,78.64,82,22,15.19,few clouds
685,La Sarrosa,HN,15.2333,-87.8333,83.07,45,13,2.8,few clouds
686,Callaway,US,30.153,-85.5699,88.18,57,40,4.0,scattered clouds
687,Bintulu,MY,3.1667,113.0333,77.23,90,96,0.96,overcast clouds
688,Kalaleh,IR,37.3807,55.4916,66.51,56,0,2.39,clear sky
689,Sao Felix Do Xingu,BR,-6.6447,-51.995,90.27,46,46,4.21,scattered clouds
690,Santa Rosa,PH,14.3122,121.1114,82.11,86,68,3.2,broken clouds
691,Colares,PT,38.7992,-9.4469,66.29,58,20,14.0,few clouds
692,Fez,MA,34.0372,-4.9998,77.25,50,0,5.75,clear sky
693,Morant Bay,JM,17.8815,-76.4093,86.67,70,12,8.1,few clouds
694,Yunyang,CN,33.4474,112.7142,61.5,97,15,1.92,light rain
695,Jardim De Piranhas,BR,-6.3786,-37.3519,95.9,26,93,14.61,overcast clouds
696,Borovskoy,KZ,53.8,64.15,38.64,72,98,17.34,overcast clouds
697,Guiren,CN,33.6697,118.1889,69.46,96,99,9.55,light rain
698,Metro,ID,-5.1131,105.3067,75.74,92,100,2.91,overcast clouds
699,Rio Tinto,PT,41.1826,-8.5581,63.28,70,0,8.01,clear sky
700,Dubai,AE,25.2582,55.3047,91.65,70,0,6.91,clear sky
701,Barcelos,PT,41.5388,-8.6151,63.84,78,7,7.47,clear sky
702,Binuangan,PH,8.9153,124.7883,75.42,82,91,7.16,overcast clouds
703,Katsuura,JP,35.1333,140.3,69.19,84,11,9.08,few clouds
704,Rio Gallegos,AR,-51.6226,-69.2181,50.05,27,75,17.27,broken clouds
705,Tottori,JP,35.5,134.2333,71.56,82,100,6.44,overcast clouds
706,Monrovia,LR,6.3005,-10.7969,73.17,81,96,6.33,light rain
707,Kedrovyy,RU,56.1667,91.8167,34.21,93,85,2.21,overcast clouds
708,Sohag,EG,26.557,31.6948,81.3,30,0,11.21,clear sky
709,Tarko-Sale,RU,64.9225,77.785,33.01,76,97,7.0,overcast clouds
710,Tullahoma,US,35.362,-86.2094,84.43,57,75,4.61,broken clouds
711,Papendrecht,NL,51.8317,4.6875,61.32,77,100,3.0,overcast clouds
712,Eureka,US,40.8021,-124.1637,64.2,75,0,5.01,clear sky
713,Zambezi,ZM,-13.5432,23.1047,75.96,27,1,2.08,clear sky
714,Orumiyeh,IR,37.5527,45.0761,61.0,25,0,7.2,clear sky
715,Columbus,US,39.9612,-82.9988,79.54,67,20,1.01,few clouds
716,Hemsedal,NO,60.8629,8.5534,46.15,90,56,4.7,broken clouds
717,Kuusamo,FI,65.9667,29.1833,41.04,93,0,0.0,clear sky
