City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Codrington,AU,2021-09-23 22:54:00,-38.2667,141.9667,52.75,77,78,19.62
244,Ereymentau,KZ,2021-09-23 22:54:01,51.6199,73.1033,37.8,76,96,5.91
245,Springbok,ZA,2021-09-23 22:54:02,-29.6643,17.8865,51.87,41,79,3.09
246,Ravar,IR,2021-09-23 22:54:02,31.2656,56.8055,77.07,21,16,3.24
247,Nemuro,JP,2021-09-23 22:54:03,43.3236,145.575,55.08,87,100,19.6
248,Kemijarvi,FI,2021-09-23 22:54:03,66.7131,27.4306,43.45,84,100,12.39
249,Karasburg,NA,2021-09-23 22:54:04,-28.0167,18.75,60.6,25,55,6.71
250,Raymond Terrace,AU,2021-09-23 22:54:04,-32.75,151.75,71.49,56,0,14.97
251,Inhambane,MZ,2021-09-23 22:54:06,-23.865,35.3833,65.17,79,0,4.94
252,Chicama,PE,2021-09-23 22:54:06,-7.8447,-79.1469,61.34,75,23,7.31
253,Vestmannaeyjar,IS,2021-09-23 22:54:07,63.4427,-20.2734,48.27,89,99,8.81
254,Ejido,VE,2021-09-23 22:54:07,8.5514,-71.2375,68.31,91,100,4.34
255,Thompson,CA,2021-09-23 22:54:07,55.7435,-97.8558,60.96,72,75,8.05
256,Nuevo Progreso,MX,2021-09-23 22:54:08,23.1667,-97.95,87.6,47,16,10.0
257,Fortuna,US,2021-09-23 22:53:27,40.5982,-124.1573,77.86,57,1,3.0
258,Nanortalik,GL,2021-09-23 22:54:09,60.1432,-45.2371,35.98,76,24,19.26
259,Duku,NG,2021-09-23 22:54:10,11.2361,4.9073,74.86,90,92,4.0
260,Klaksvik,FO,2021-09-23 22:54:11,62.2266,-6.589,52.72,95,100,22.12
261,Qaqortoq,GL,2021-09-23 22:54:12,60.7167,-46.0333,35.2,63,0,10.27
262,Ribeira Grande,PT,2021-09-23 22:54:12,38.5167,-28.7,70.47,64,88,6.46
263,Seydi,TM,2021-09-23 22:54:13,39.4816,62.9137,66.31,21,0,11.74
264,Stromness,GB,2021-09-23 22:54:13,58.965,-3.296,53.85,91,100,11.99
265,Guaymas,MX,2021-09-23 22:54:14,27.9333,-110.9,91.45,52,100,10.25
266,Saint-Augustin,CA,2021-09-23 22:54:14,51.226,-58.6502,49.5,88,90,5.35
267,Bambous Virieux,MU,2021-09-23 22:54:15,-20.3428,57.7575,72.21,88,75,12.66
268,Santa Lucia,ES,2021-09-23 22:54:15,27.9117,-15.5407,67.32,69,40,8.05
269,Tocopilla,CL,2021-09-23 22:51:53,-22.092,-70.1979,63.99,72,20,6.82
270,Syumsi,RU,2021-09-23 22:54:16,57.1111,51.6149,50.86,61,100,9.8
271,Fukue,JP,2021-09-23 22:54:17,32.6881,128.8419,75.2,63,20,13.65
272,Hanyang,CN,2021-09-23 22:54:17,32.1371,105.5126,66.42,97,87,2.89
273,Kavieng,PG,2021-09-23 22:54:18,-2.5744,150.7967,83.59,70,100,11.34
274,Bonavista,CA,2021-09-23 22:54:18,48.6499,-53.1147,57.11,89,54,13.58
275,Carauari,BR,2021-09-23 22:54:19,-4.8828,-66.8958,76.78,88,84,1.81
276,Paamiut,GL,2021-09-23 22:54:20,61.994,-49.6678,32.86,73,9,18.72
277,Montelibano,CO,2021-09-23 22:54:20,7.9829,-75.4229,77.9,88,100,5.01
